"skeletal bone","21","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"prosthesis implantation","3","['therapeutic or preventive procedure']"
"diabetes","3","['disease or syndrome']"
"antibiotics","3","['antibiotic']"
"redness","2","['finding']"
"sore to touch","2","['sign or symptom']"
"intravenous infusion procedures","2","['therapeutic or preventive procedure']"
"leg","2","['body location or region']"
"blood supply aspects","2","['body part, organ, or organ component', 'congenital abnormality', 'disease or syndrome', 'organ or tissue function']"
"malaise","2","['finding', 'sign or symptom']"
"foot","2","['body part, organ, or organ component']"
"tissue damage","1","['injury or poisoning']"
"swelling","1","['finding', 'pathologic function']"
"structure of long bone","1","['body part, organ, or organ component']"
"back","1","['body location or region']"
"tendon structure","1","['body part, organ, or organ component']"
"chronic osteomyelitis site unspecified","1","['disease or syndrome']"
"tissue growth","1","['organ or tissue function']"
"pelvis","1","['body location or region', 'body part, organ, or organ component']"
"social warmth","1","['finding']"
"sore on skin","1","['disease or syndrome', 'finding']"
"vertebral column","1","['body part, organ, or organ component']"
"bone tenderness","1","['sign or symptom']"
"increased sweating","1","['sign or symptom']"
"ankle","1","['body location or region', 'body part, organ, or organ component']"
"hip region structure","1","['biologically active substance', 'body part, organ, or organ component']"
"bone transplantation","1","['therapeutic or preventive procedure']"
"set of muscles","1","['body part, organ, or organ component']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"fever","1","['finding']"
"hemodialysis","1","['therapeutic or preventive procedure']"
"plain x-ray","1","['diagnostic procedure']"
"extended rotated sidebent","1","['clinical attribute', 'disease or syndrome', 'finding']"
"physical findings","1","['finding']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"acute osteomyelitis","1","['disease or syndrome']"
"amputation","1","['therapeutic or preventive procedure']"
"radioisotope scan of bone","1","['diagnostic procedure']"
"proteins","1","['biologically active substance']"
"upper arm","1","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"erythrocyte sedimentation rate result","1","['clinical attribute', 'finding']"
"veins","1","['body part, organ, or organ component']"
"magnetic resonance imaging","1","['diagnostic procedure']"
