"herpes zoster disease","9","['disease or syndrome', 'virus']"
"postherpetic neuralgia","6","['disease or syndrome']"
"vaccines","5","['pharmacologic substance']"
"pharmaceutical preparations","4","['pharmacologic substance']"
"herpes zoster vaccine","4","['pharmacologic substance']"
"human herpesvirus 3","2","['disease or syndrome', 'pharmacologic substance', 'virus']"
"burning sensation","1","['sign or symptom']"
"hydrocodone","1","['organic chemical', 'pharmacologic substance']"
"oxycodone","1","['organic chemical', 'pharmacologic substance']"
"anti-inflammatory agents non-steroidal","1","['pharmacologic substance']"
"seizures","1","['finding', 'sign or symptom']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"mild adverse event","1","['finding']"
"pregabalin","1","['pharmacologic substance']"
"prescription drugs","1","['pharmacologic substance']"
"chickenpox vaccine","1","['disease or syndrome', 'pharmacologic substance', 'virus']"
"injection of therapeutic agent","1","['therapeutic or preventive procedure']"
"lidocaine","1","['organic chemical', 'pharmacologic substance']"
"keratitis herpetic","1","['disease or syndrome']"
"immune system finding","1","['finding']"
"anticonvulsants","1","['pharmacologic substance']"
"antidepressive agents","1","['pharmacologic substance']"
"codeine","1","['organic chemical', 'pharmacologic substance']"
"varicella zoster","1","['disease or syndrome']"
"sensitive to touch","1","['finding']"
"gabapentin","1","['organic chemical', 'pharmacologic substance']"
