"spasmus nutans","4","['disease or syndrome']"
"nodding of head","2","['finding']"
"eye movements","2","['finding', 'organ or tissue function']"
"brain neoplasms","1","['neoplastic process']"
"neck","1","['body location or region']"
"uncontrolled eye movements","1","['finding']"
"head bobbing","1","['finding']"
"positioning - therapy","1","['therapeutic or preventive procedure']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"physical findings","1","['finding']"
"involuntary movements","1","['sign or symptom']"
"mri of head","1","['diagnostic procedure']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"head tilt","1","['finding']"
