"congenital exomphalos","9","['acquired abnormality', 'congenital abnormality']"
"swelling","3","['finding', 'pathologic function']"
"blood vessel","1","['body part, organ, or organ component', 'finding']"
"very rare","1","['finding']"
"back","1","['body location or region']"
"muscle strain","1","['injury or poisoning']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"blood supply aspects","1","['body part, organ, or organ component', 'congenital abnormality', 'disease or syndrome', 'organ or tissue function']"
"physical findings","1","['finding']"
"death by strangulation","1","['injury or poisoning']"
"intestines","1","['body part, organ, or organ component']"
